sentences,bias,subjectivity,vader,flesch-kincaid
i don 't think i can handle it .,-0.47205706885,0.0,0.0,-1.8
yea i kno but i dnt kno wat to do wit him,0.65427087037,0.0,0.0,-1.5
thanks for the rt !,0.12956516482,0.2,0.4926,-5.8
what 's up ?,-0.0417122,0.0,0.0,-7.3
i love you !,0.19110818872,0.6,0.6696,-0.3
i don 't think i 'm going to be able to see it . i don 't know what 's going on .,-0.21383981885,0.625,0.0,-2.2
thanks for the shout out !,0.12956516482,0.2,0.4926,-3.0
lol i 'm not . i 'm just saying,-0.28248222995,0.7,0.4215,-5.8
i 'm not sure if i 'll be able to go . but i 'll be back in a couple of weeks .,0.2098707727,0.5046,-0.1232,-1.1
i know ! ! ! ! ! ! ! ! ! !,-0.170820825,0.0,0.0,-4.2
i know ! ! ! ! ! ! ! ! ! !,-0.170820825,0.0,0.0,-4.2
i know ! ! ! ! ! ! ! ! !,-0.170820825,0.0,0.0,-4.2
i love you ! ! ! ! !,0.21843746374,0.6,0.7482,-0.3
thank you so much !,0.10428732393,0.2,0.4199,-3.4
what 's up ?,-0.0417122,0.0,0.0,-7.3
i 'm not sure if i 'm going to be able to do it but i 'm not sure if i 'm gonna be able to do it .,-0.19898693283,0.7569,-0.4449,5.9
lol i know right ! ! ! ! ! !,0.04068551081,0.6179,0.6083,-3.4
yes i am ! ! ! ! ! ! ! ! xx,0.16520448657,0.0,0.5951,-5.8
yay ! ! ! ! ! ! ! ! !,0.19388979432,0.0,0.6776,-4.6
i 'm not sure i 've read it  but i 'm not sure if i should be able to read it  but i 'm not sure if it 's a good idea .,0.86356583481,0.7783,-0.1323,7.5
i love you !,0.19110818872,0.6,0.6696,-0.3
i love it ! ! ! ! !,0.21843746374,0.6,0.7482,-0.3
thanks for the info !,0.12956516482,0.2,0.4926,-1.0
 i 'm sure she 'll be fine  i 'm sure she 'll be fine,1.27872330838,0.6944,0.7351,-0.7
i know ! ! ! ! ! ! ! !,-0.170820825,0.0,0.0,-4.2
i don 't know  but i 'm not sure if i 'm going to be able to see it .,0.13095091907,0.7569,-0.3491,2.4
thank you ! ! !,0.14010049603,0.0,0.5229,-4.2
i don 't see the point of view  but i 'm not sure if i 'm going to be able to see it .,0.03764100328,0.7569,-0.3491,4.0
i 'm not sure if i 'm going to be able to help you with that  but i think you 're right .,0.04893821166,0.6832,0.0948,3.6
i love you !,0.19110818872,0.6,0.6696,-0.3
thank you,0.08387729284,0.0,0.3612,-4.2
i don 't know . i just don 't know what to do .,-0.170820825,0.0,0.0,-3.8
i 'm not sure . i just don 't know what to do with myself . i don 't know what i 'm talking about .,-0.37084922627,0.8889,-0.2411,-2.2
what 's wrong with you ?,-0.20746112369,0.9,-0.4767,-5.4
thank you !,0.10428732393,0.0,0.4199,-4.2
what 's wrong ?,-0.20746112369,0.9,-0.4767,-7.3
i know ! ! ! ! ! ! !,-0.170820825,0.0,0.0,-4.2
i love you ! ! ! ! !,0.21843746374,0.6,0.7482,-0.3
i don 't think i 've ever heard of it .,-0.3644837625,0.0,0.0,-1.1
lol u got it,0.10484364505,0.7,0.4215,-3.4
haha  ja ik weet niet  want ik weet niet of ik niet want ik moet nog ff kijken .,0.84780079736,0.3,0.7506,3.2
i know ! ! ! ! ! ! ! ! !,-0.170820825,0.0,0.0,-4.2
o _ _ _ o,-0.0417122,0.0,0.0,-4.2
i don 't have it,-0.0417122,0.0,0.0,-3.0
what 's the score ?,-0.0417122,0.0,0.0,-3.4
where you at ?,-0.0417122,0.0,0.0,-0.3
it 's a good thing . i don 't know what to do .,-0.01769343672,0.6,0.4404,-3.8
thanks for the shout out !,0.12956516482,0.2,0.4926,-3.0
good luck with that !,0.71725871415,0.6,0.7345,-3.4
i 'm not sure if it 's a good idea  but i 'm not sure if i should be able to use it .,0.56806649783,0.7507,-0.2439,5.2
<at>,-0.0417122,0.0,0.0,-4.6
i love you too,0.17973837583,0.6,0.6369,-1.0
i know ! ! ! ! ! ! !,-0.170820825,0.0,0.0,-4.2
thank you !,0.10428732393,0.0,0.4199,-4.2
i 'm not sure if it 's a good thing or not .,0.67993577684,0.7444,0.2354,-1.5
i love you ! ! !,0.21033603743,0.6,0.7249,-0.3
i don 't even know what i 'm talking about lol,-0.02426497995,0.7,0.4215,0.5
i think it 's a good idea . i don 't think it 's a good idea .,-0.05643464979,0.6,0.7003,-3.0
thanks for the rt !,0.12956516482,0.2,0.4926,-5.8
lol . i 'm sure you 'll be fine .,0.07590759172,0.6963,0.7096,-1.8
i love it ! ! ! !,0.21843746374,0.6,0.7482,-0.3
me too ! ! ! ! ! ! !,-0.0417122,0.0,0.0,-4.2
lol i 'm not even sure what it is,-0.09728212695,0.7944,0.2115,-0.3
lol ! ! ! ! ! ! ! ! ! ! ! ! ! ! xx,0.16979413581,0.7,0.6083,-8.9
i love you ! & lt <number>,0.19110818872,0.6,0.6696,-0.7
i think it 's a good show .,-0.14680206172,0.6,0.4404,-3.4
what 's up ?,-0.0417122,0.0,0.0,-7.3
not much  you ?,-0.0417122,0.2,0.0,-3.8
f4f ?,-0.0417122,0.0,0.0,-4.6
i know ! ! ! ! ! ! ! !,-0.170820825,0.0,0.0,-4.2
<minor_speaker> i 'm sorry  i 'm not the only one !,-0.22335840077,1.0,-0.1511,3.7
i love it ! ! ! !,0.21843746374,0.6,0.7482,-0.3
what 's the link ?,-0.0417122,0.0,0.0,-5.8
no lo he visto ! ! ! ! ! !,1.86571183988,0.0,-0.5216,-1.0
where u at ?,-0.0417122,0.0,0.0,-0.3
i 'm not sure . i 'm just saying .,-0.62044202012,0.8889,-0.2411,-4.6
i 'm not sure if i 'm going but i 'm not sure if i 'll be able to do it . i 'll be back in a bit .,0.29041332573,0.6007,-0.4449,-0.7
hey ! ! !,-0.0417122,0.0,0.0,-4.6
thank you !,0.10428732393,0.0,0.4199,-4.2
i know ! ! ! ! ! ! ! ! ! !,-0.170820825,0.0,0.0,-4.2
lol i don 't even know what to do with it .,-0.02426497995,0.7,0.4215,-0.7
you 're welcome .,0.11781288116,0.9,0.4588,3.3
rt rt i wish i could go to the movies with you . & lt & lt & lt & lt & lt & lt & lt & lt & lt & lt & lt & lt,-0.10385849643,0.0,0.4019,-6.2
you 're welcome !,0.13537176651,0.9,0.5093,3.3
i love you ! ! ! ! !,0.21843746374,0.6,0.7482,-0.3
lol i know right ! ! !,0.02681225288,0.6179,0.5684,-3.4
it 's a good thing . i don 't know what to do .,-0.01769343672,0.6,0.4404,-3.8
<minor_speaker> i don 't know if i should be able to use it  but i 'm not sure if i should be able to use it .,0.55036177709,0.713,-0.3491,7.5
what 's good bro ?,0.11141518828,0.6,0.4404,-5.8
i 'm not sure . i 'm not sure if i should be able to watch it .,0.30314422097,0.8009,-0.4449,-0.7
thanks for the rt !,0.12956516482,0.2,0.4926,-5.8
where u at,-0.0417122,0.0,0.0,-0.3
what are you doing ?,-0.0417122,0.0,0.0,-1.0
lol ! ! ! ! ! ! ! ! !,0.16979413581,0.7,0.6083,-4.6
where you at ?,-0.0417122,0.0,0.0,-0.3
i don 't think so .,-0.0417122,0.0,0.0,-5.4
what 's wrong ?,-0.20746112369,0.9,-0.4767,-7.3
i 'm glad you 're okay . i 'm glad i 'm not the only one .,0.10195037415,0.875,0.7845,-2.2
 he he he,8.3134267,0.0,0.0,-7.3
good luck ! ! ! ! ! ! !,1.88728340122,0.6,0.7946,-4.2
thank you !,0.10428732393,0.0,0.4199,-4.2
i think he is .,1.788855275,0.0,0.0,-3.4
where are you ?,-0.0417122,0.0,0.0,3.3
i know . it 's been a while since i 've been here .,-0.170820825,0.0,0.0,2.1
i know ! ! ! ! ! ! !,-0.170820825,0.0,0.0,-4.2
i don 't know what you 're talking about xd,0.03289701513,0.0,0.5859,-1.1
you can do it ! ! ! ! !,-0.5581467,0.0,0.0,-3.4
thanks for the rt !,0.12956516482,0.2,0.4926,-5.8
i 'm <number>  you ?,-0.0417122,0.0,0.0,-3.4
<at>,-0.0417122,0.0,0.0,-4.6
i don 't want you to feel bad about it .,-0.16414353573,0.6667,-0.4939,-1.1
that 's good !,0.12956516482,0.6,0.4926,-7.3
thanks for the rt !,0.12956516482,0.2,0.4926,-5.8
i don 't know . i 'm watching it now .,-0.0417122,0.0,0.0,-4.6
i love you ! ! ! !,0.21843746374,0.6,0.7482,-0.3
i love you !,0.19110818872,0.6,0.6696,-0.3
i love you !,0.19110818872,0.6,0.6696,-0.3
i 'm not even sure what i 'm talking about lol,-0.09728212695,0.7944,0.2115,1.7
i 'm sorry . i 'm not the only one .,-0.19766331904,1.0,-0.0772,-2.2
thanks for the rt !,0.12956516482,0.2,0.4926,-5.8
i don 't know what you 're talking about .,-0.170820825,0.0,0.0,-0.3
i don 't think he 's following me .,1.15223714881,0.1,0.0,-1.8
i love it ! ! ! ! !,0.21843746374,0.6,0.7482,-0.3
i 'm not sure what to do with it . i don 't know what to do with it .,-0.44831440127,0.8889,-0.2411,-1.5
i love you too & lt <number>,0.17973837583,0.6,0.6369,-0.3
i don 't know what you 're talking about . i don 't know what you 're talking about .,-0.170820825,0.0,0.0,-0.3
hey ! ! !,-0.0417122,0.0,0.0,-4.6
lol i know . i was just about to say that .,-0.15337360495,0.7,0.4215,-1.8
thanks for the rt !,0.12956516482,0.2,0.4926,-5.8
what happened ? ? ?,-0.0417122,0.0,0.0,6.4
i 'm sorry  i 'm sorry  i didn 't mean to upset you  i 'm sorry  i didn 't mean to upset you  i 'm sorry .,-0.30269634542,0.8958,-0.7506,5.2
hey  i just finished watching unknown at moviepoint . try searching it .,0.4798306405,0.6,0.0,4.1
* looks at you *,-0.170820825,0.0,0.0,-3.8
i don 't know if i can do it  but i 'm not sure if i should be able to do it .,0.54579361984,0.7569,-0.3491,3.6
* bites her lip  moving closer to him  her hands resting on her hips *,2.18660334463,0.0,0.0,3.6
lol . i 'm just saying . i don 't know what you 're talking about .,-0.15337360495,0.7,0.4215,-2.2
i love you !,0.19110818872,0.6,0.6696,-0.3
i 'm not sure . i 'm just saying .,-0.62044202012,0.8889,-0.2411,-4.6
i 'm good thanks  you ?,0.20178260021,0.4,0.7003,-5.4
i think he 's gonna be the first to get a new one . but i 'm not sure if he 'll be able to see it .,0.88205463894,0.5754,-0.3491,0.1
<at>,-0.0417122,0.0,0.0,-4.6
i know ! ! ! ! ! ! ! ! ! ! !,-0.170820825,0.0,0.0,-4.2
yea it is,-0.0417122,0.0,0.0,-3.8
i 'm not sure  but i 'm sure it 's a good thing .,-0.3804748185,0.7926,0.2325,-1.1
i 'm sorry .,-0.06855469404,1.0,-0.0772,-3.8
me too ! ! ! ! ! ! !,-0.0417122,0.0,0.0,-4.2
i 'm not a fan of it  but i don 't know how to explain it .,-0.21365755124,0.0,-0.1232,0.1
i 'm good . how are you ?,0.11141518828,0.6,0.4404,-3.8
what 's wrong with it ?,-0.20746112369,0.9,-0.4767,-5.4
i miss you too !,-0.11973623708,0.0,-0.2244,-3.4
