sentence	bias_score	assertive_verb_count	assertive_verb_prop	bias_count	bias_prop	coherence_marker_count	coherence_marker_prop	degree_modifier_count	degree_modifier_prop	factive_verb_count	factive_verb_prop	flesch-kincaid_grade_level	hedge_word_count	hedge_word_prop	implicative_verb_count	implicative_verb_prop	liwc_3rd_person_pronoum_count	liwc_3rd_person_pronoun_prop	liwc_achievement_word_count	liwc_achievement_word_prop	liwc_adverb_count	liwc_adverb_prop	liwc_auxiliary_verb_count	liwc_auxiliary_verb_prop	liwc_causation_word_count	liwc_causation_word_prop	liwc_certainty_word_count	liwc_certainty_word_prop	liwc_conjunction_count	liwc_conjunction_prop	liwc_discrepency_word_count	liwc_discrepency_word_prop	liwc_preposition_count	liwc_preposition_prop	liwc_tentative_word_count	liwc_tentative_word_prop	liwc_work_word_count	liwc_work_word_prop	modality	mood	opinion_count	opinion_prop	subjective_strong_count	subjective_strong_prop	subjective_weak_count	subjective_weak_prop	subjectivity_score	unique_word_count	vader_composite_sentiment	word_count
yeah, just a minor encounter with the shrew. that's her?  bianca's sister? the mewling, rampalian wretch herself.	0.9992658522	0	0	0	0	0	0	0	0	0	0	4.1	0	0	0	0	2	0.1176	0	0	1	0.0588	0	0	0	0	0	0	0	0	0	0	1	0.0588	0	0	0	0	1	indicative	0	0	0	0	0	0	0.2	16	0.168	17
i teach her french, get to know her, dazzle her with charm and she falls in love with me. unlikely, but even so, she still can't go out with you.  so what's the point?	0.950792068	0	0	0	0	1	0.0286	0	0	0	0	1.7	0	0	0	0	5	0.1429	0	0	4	0.1143	0	0	0	0	0	0	4	0.1143	0	0	6	0.1714	0	0	0	0	0.25	indicative	0	0	0	0	0	0	0.3667	29	0.5346	35
why do girls like that always like guys like that? because they're bred to.  their mothers liked guys like that, and their grandmothers before them. their gene pool is rarely diluted. he always have that shit-eating grin? joey dorsey?  perma-shit-grin.  i wish i could say he's a moron, but he's number twelve in the class.  and a model.  mostly regional stuff, but he's rumored to have a big tube sock ad coming out.	0.9229800561	0	0	0	0	0	0	0	0	0	0	4.4	0	0	0	0	6	0.0811	0	0	2	0.027	5	0.0676	2	0.027	2	0.027	5	0.0676	2	0.027	5	0.0676	1	0.0135	1	0.0135	0.3269	conditional	0	0	0	0	0	0	0.66	54	0.8267	74
but she doesn't want to date. exactly my point	0.9101332488	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	1	0.1	0	0	0	0	1	0.1	0	0	0	0	1	0.1	1	0.1	1	0.1	0	0	0	0	0.1875	indicative	0	0	0	0	0	0	0.25	10	-0.0857	10
what makes you think he'll do it? he seems like he thrives on danger no kidding.  he's a criminal.  i heard he lit a state trooper on fire.  he just got out of alcatraz... they always let felons sit in on honors biology? i'm serious, man, he's whacked.  he sold his own liver on the black market so he could buy new speakers. forget his reputation.  do you think we've got a plan or not? did she actually say she'd go out with you? that's what i just said	0.8717864585	0	0	0	0	0	0	0	0	0	0	1.3	0	0	0	0	14	0.1489	1	0.0106	4	0.0426	5	0.0532	1	0.0106	1	0.0106	2	0.0213	1	0.0106	9	0.0957	2	0.0213	0	0	0.4821	conditional	0	0	0	0	0	0	0.5341	69	-0.8105	94
cameron, i'm a little busy it's off. the whole thing.	0.8501696029	0	0	0	0	0	0	0	0	0	0	2.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0909	0	0	1	0.0909	1	indicative	0	0	0	0	0	0	0.4	11	0	11
assail your ears for one night. it's her favorite band.	0.8242181462	0	0	0	0	0	0	0	0	0	0	2.9	0	0	0	0	1	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.1	0	0	0	0	0.75	imperative	0	0	0	0	0	0	1	10	0.4588	10
you know french? sure do ... my mom's from canada guess who just signed up for a tutor? you mean i'd get a chance to talk to her? you could consecrate with her, my friend.	0.7843071245	0	0	0	0	1	0.0278	0	0	0	0	0.5	0	0	0	0	2	0.0556	0	0	1	0.0278	2	0.0556	0	0	0	0	0	0	1	0.0278	6	0.1667	2	0.0556	0	0	0.3667	conditional	0	0	0	0	0	0	0.5255	30	0.7929	36
why? unsolved mystery.  she used to be really popular when she started high school, then it was just like she got sick of it or something. that's a shame.	0.7807492412	0	0	0	0	0	0	0	0	0	0	5.2	0	0	0	0	3	0.1034	0	0	3	0.1034	2	0.069	2	0.069	0	0	3	0.1034	0	0	2	0.069	1	0.0345	0	0	0.75	indicative	0	0	0	0	0	0	0.7657	26	-0.204	29
promise me you won't talk to any boys unless your sister is present. why? because she'll scare them away.	0.7646976773	0	0	0	0	0	0	0	0	0	0	4.4	0	0	0	0	2	0.0952	0	0	0	0	1	0.0476	2	0.0952	0	0	2	0.0952	0	0	3	0.1429	1	0.0476	0	0	0.75	imperative	0	0	0	0	0	0	0	21	-0.2263	21
cameron -- do you like the girl? sure then, go get her	0.7288800855	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	1	0.0833	0	0	0	0	1	0.0833	0	0	0	0	1	0.0833	0	0	0	0	0	0	0	0	0.75	imperative	0	0	0	0	0	0	0.8889	12	0.5859	12
what 're you talking about? she's partial to joey, not me	0.717769926	0	0	0	0	0	0	0	0	0	0	-0.7	0	0	0	0	1	0.0909	0	0	1	0.0909	0	0	0	0	0	0	0	0	0	0	2	0.1818	0	0	0	0	1	indicative	0	0	0	0	0	0	0.3	11	0	11
he practically proposed when he found out we had the same dermatologist. i mean. dr. bonchowski is great an all, but he's not exactly relevant party conversation. is he oily or dry? combination.  i don't know -- i thought he'd be different.  more of a gentleman...	0.7177431145	0	0	0	0	1	0.0204	0	0	0	0	5.6	0	0	0	0	5	0.102	0	0	1	0.0204	5	0.102	0	0	1	0.0204	3	0.0612	0	0	2	0.0408	2	0.0408	0	0	0.5156	conditional	0	0	0	0	0	0	0.5946	42	-0.0867	49
what'd you do to her? i don ' t know.  i decided not to nail her when she was too drunk to remember it.	0.7123343057	0	0	0	0	0	0	0	0	0	0	-1.1	0	0	0	0	3	0.125	0	0	2	0.0833	2	0.0833	0	0	0	0	1	0.0417	0	0	3	0.125	0	0	0	0	0.6667	conditional	0	0	0	0	0	0	1	20	-0.34	24
this is it.  a golden opportunity. patrick can ask katarina to the party. in that case, we'll need to make it a school-wide blow out. will bogey get bent? are you kidding?  he'll piss himself with joy.  he's the ultimate kiss ass.	0.6756444603	0	0	0	0	2	0.0455	0	0	0	0	2.9	0	0	0	0	3	0.0682	0	0	0	0	4	0.0909	1	0.0227	0	0	0	0	1	0.0227	5	0.1136	0	0	0	0	0.5192	conditional	0	0	0	0	0	0	0.5667	38	0.7691	44
listen, i want to talk to you about the prom. you know the deal.  i can ' t go if kat doesn't go --	0.6698812521	0	0	0	0	1	0.0417	0	0	0	0	-2.2	0	0	0	0	0	0	0	0	1	0.0417	2	0.0833	0	0	0	0	1	0.0417	2	0.0833	3	0.125	1	0.0417	1	0.0417	0.25	conditional	0	0	0	0	0	0	0	19	0.0772	24
number one.  she hates smokers it's a lung cancer issue her favorite uncle dead at forty-one.	0.5773653112	0	0	0	0	0	0	0	0	0	0	8.4	0	0	0	0	2	0.125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0625	0	0	0	0	0.75	indicative	0	0	0	0	0	0	0.7	16	-0.8519	16
"then guillermo says, ""if you go any lighter, you're gonna look like an extra on 90210."" no..."	0.5562013788	0	0	0	0	0	0	0	0	0	0	6.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0.0909	1	0.0455	1	0.0455	2	0.0909	0	0	0.6071	indicative	0	0	0	0	0	0	0.1	21	0.3612	22
bianca, i need to talk to you -- i need to tell you -- i really don't think i need any social advice from you right now.	0.556155192	0	0	0	0	0	0	0	0	0	0	7.1	0	0	0	0	0	0	0	0	2	0.0714	1	0.0357	0	0	0	0	0	0	3	0.1071	4	0.1429	1	0.0357	0	0	0.6667	indicative	0	0	0	0	0	0	0.2675	18	0	28
gosh, if only we could find kat a boyfriend... let me see what i can do.	0.5249749799	0	0	0	0	1	0.0588	0	0	0	0	-0.7	0	0	0	0	0	0	0	0	1	0.0588	4	0.2353	0	0	0	0	1	0.0588	2	0.1176	0	0	1	0.0588	0	0	0.2857	conditional	0	0	0	0	0	0	1	17	0	17
you think you ' re the only sophomore at the prom? i did.	0.5173835773	0	0	0	0	0	0	0	0	0	0	3.3	0	0	0	0	0	0	0	0	1	0.0833	1	0.0833	0	0	0	0	0	0	0	0	1	0.0833	0	0	1	0.0833	0.5	indicative	0	0	0	0	0	0	1	10	0	12
hey, sweet cheeks. hi, joey. you're concentrating awfully hard considering it's gym class.	0.5117844872	0	0	0	0	0	0	0	0	0	0	4.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.0714	0.5	indicative	0	0	0	0	0	0	0.5958	14	0.3197	14
she hates you with the fire of a thousand suns .  that's a direct quote she just needs time to cool off i'll give it a day.	0.4980909261	0	0	0	0	0	0	0	0	0	0	2.5	0	0	0	0	2	0.0741	0	0	1	0.037	0	0	0	0	0	0	0	0	1	0.037	4	0.1481	0	0	0	0	0.75	conditional	0	0	0	0	0	0	0.525	24	-0.4588	27
"but after that, i swore i'd never do anything just because ""everyone else"" was doing it.  and i haven't since. except for bogey's party, and my stunning gastro-intestinal display -- why didn't you tell me? i wanted to let you make up your own mind about him. no. you didn't!  if you really thought i could make my own decisions, you would've let me go out with him instead of helping daddy hold me hostage."	0.4526308897	0	0	0	0	0	0	0	0	0	0	5.2	0	0	0	0	2	0.0244	0	0	4	0.0488	10	0.122	5	0.061	1	0.0122	5	0.061	4	0.0488	10	0.122	2	0.0244	0	0	0.2692	conditional	0	0	0	0	0	0	0.8	63	0.8043	82
you're ruining my life'  because you won't be normal, i can't be normal. what's normal? bogey lowenstein's party is normal, but you're too busy listening to bitches who need prozac to know that.	0.4364834218	0	0	0	0	0	0	0	0	0	0	7.2	0	0	0	0	0	0	0	0	1	0.027	3	0.0811	1	0.027	0	0	2	0.0541	5	0.1351	2	0.0541	0	0	1	0.027	0.4167	indicative	0	0	0	0	0	0	0.58	28	-0.7184	37
always a pleasure, brucie. didn't have you pegged for a gigglepuss fan.  aren't they a little too pre-teen belly-button ring for you? fan of a fan.  you see a couple of minors come in? never padua girls.  one tall, decent body. the other one kinda short and undersexed? just sent 'em through.	0.4260570727	0	0	0	0	0	0	0	0	0	0	2.9	0	0	0	0	1	0.0185	0	0	2	0.037	3	0.0556	0	0	2	0.037	1	0.0185	0	0	5	0.0926	1	0.0185	0	0	0.85	imperative	0	0	0	0	0	0	0.4604	42	0.879	54
and he means that strictly in a non- prison-movie type of way. yeah -- we'll see.	0.4233807495	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	1	0.0588	0	0	0	0	0	0	0	0	0	0	1	0.0588	0	0	2	0.1176	0	0	0	0	0.75	conditional	0	0	0	0	0	0	0	17	0.296	17
you humiliated the woman! sacrifice yourself on the altar of dignity and even the score. best case scenario, you're back on the payroll for awhile.	0.4224346922	0	0	0	0	0	0	0	0	0	0	6.4	0	0	0	0	0	0	1	0.0385	2	0.0769	0	0	0	0	0	0	1	0.0385	0	0	4	0.1538	0	0	0	0	1	indicative	0	0	0	0	0	0	0.15	21	0.6996	26
i'm missing something. i have a date, daddy.  and he ' s not a captain of oppression like some men we know.	0.4079659156	0	0	0	0	0	0	0	0	0	0	2.5	0	0	0	0	1	0.0476	0	0	0	0	1	0.0476	0	0	0	0	1	0.0476	0	0	1	0.0476	1	0.0476	0	0	0.625	indicative	0	0	0	0	0	0	0.05	19	0.0772	21
daddy, people expect me to be there! if kat's not going, you're not going.	0.3840014712	0	0	0	0	0	0	0	0	0	0	1.3	0	0	0	0	0	0	0	0	1	0.0667	1	0.0667	0	0	0	0	1	0.0667	1	0.0667	1	0.0667	1	0.0667	0	0	0.5	indicative	0	0	0	0	0	0	0	13	0	15
you the new guy? so they tell me... c'mon.  i'm supposed to give you the tour.	0.3771633184	0	0	0	0	0	0	0	0	0	0	-0.7	0	0	0	0	1	0.0556	0	0	1	0.0556	0	0	0	0	0	0	1	0.0556	0	0	1	0.0556	1	0.0556	0	0	0.4167	indicative	0	0	0	0	0	0	0.4545	16	0	18
i don't get you.  you act like you're too good for any of this, and then you go totally apeshit when you get here. you're welcome.	0.3726708517	0	0	0	0	0	0	0	0	0	0	3.6	0	0	0	0	0	0	0	0	4	0.1379	1	0.0345	0	0	1	0.0345	3	0.1034	0	0	2	0.069	1	0.0345	0	0	1	imperative	0	0	0	0	0	0	0.75	22	0.7357	29
extremely unfortunate maneuver. the hell is that?  what kind of 'guy just picks up a girl and carries her away while you're talking to her? buttholus extremus.  but hey, you're making progress. no, i ' m not.	0.3651491102	0	0	0	0	0	0	1	0.0263	0	0	3.7	0	0	0	0	2	0.0526	1	0.0263	1	0.0263	1	0.0263	1	0.0263	1	0.0263	3	0.0789	0	0	4	0.1053	0	0	0	0	1	indicative	0	0	0	0	0	0	0.95	35	-0.5278	38
neat... my agent says i've got a good shot at being the prada guy next year.	0.355708408	0	0	0	0	0	0	0	0	0	0	3.6	0	0	0	0	0	0	0	0	0	0	1	0.0556	0	0	0	0	0	0	0	0	1	0.0556	0	0	1	0.0556	0.4167	indicative	0	0	0	0	0	0	0.3	18	0.4404	18
like i'm supposed to know what that even means. it's shakespeare.  maybe you've heard of him? yeah, he's your freak friend mandella's boyfriend.  i guess since i'm not allowed to go out, i should obsess over a dead guy, too.	0.3367105385	0	0	0	0	0	0	0	0	0	0	3.7	0	0	0	0	2	0.0465	0	0	3	0.0698	1	0.0233	1	0.0233	0	0	0	0	1	0.0233	6	0.1395	3	0.0698	0	0	0.3182	conditional	0	0	0	0	0	0	0.4	38	-0.3182	43
sure have. i really, really, really wanna go, but i can't.  not unless my sister goes. i'm workin' on it. but she doesn't seem to be goin' for him.	0.3343700128	0	0	0	0	0	0	0	0	0	0	1.3	0	0	0	0	2	0.0606	0	0	3	0.0909	3	0.0909	0	0	0	0	3	0.0909	0	0	4	0.1212	1	0.0303	0	0	0.3667	indicative	0	0	0	0	0	0	0.5444	27	0.1655	33
bianca, i don't think the highlights of dating joey dorsey are going to include door-opening and coat-holding. sometimes i wonder if the guys we're supposed to want to go out with are the ones we actually want to go out with, you know? all i know is -- i'd give up my private line to go out with a guy like joey.	0.3324081894	0	0	0	0	1	0.0154	0	0	0	0	7.6	0	0	0	0	0	0	0	0	1	0.0154	4	0.0615	0	0	1	0.0154	2	0.0308	3	0.0462	13	0.2	4	0.0615	0	0	0.35	conditional	0	0	0	0	0	0	0.2375	45	0.4767	65
"so yeah, i've got the sears catalog thing going -- and the tube sock gig "" that's gonna be huge.  and then i'm up for an ad for queen harry next week. queen harry? it's a gay cruise line, but i'll be, like, wearing a uniform and stuff."	0.2884234874	0	0	0	0	0	0	0	0	0	0	4.4	0	0	0	0	0	0	2	0.0385	1	0.0192	2	0.0385	0	0	0	0	6	0.1154	0	0	3	0.0577	0	0	0	0	0.75	conditional	0	0	0	0	0	0	0.4944	42	0.6855	52
is that woman a complete fruit-loop or is it just me? it's just you.	0.2864787211	0	0	0	0	0	0	0	0	0	0	1.3	0	0	0	0	0	0	0	0	2	0.1429	2	0.1429	0	0	1	0.0714	1	0.0714	0	0	0	0	1	0.0714	0	0	1	indicative	0	0	0	0	0	0	0.4	11	0	14
he said everyone was doing it.  so i did it. you did what? just once.  afterwards, i told him i didn't want to anymore.  i wasn't ready. he got pissed.  then he broke up with me.	0.2706450858	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	4	0.1053	0	0	2	0.0526	6	0.1579	0	0	0	0	2	0.0526	1	0.0263	3	0.0789	0	0	0	0	0.1875	indicative	0	0	0	0	0	0	0.5	28	-0.8531	38
the vintage look is over, kat. haven't you been reading your sassy? yeah, and i noticed the only part of you featured in your big kmart spread was your elbow.  tough break. they're running the rest of me next month.	0.2189960604	0	0	0	0	0	0	0	0	0	0	2.5	0	0	0	0	1	0.0238	0	0	1	0.0238	4	0.0952	0	0	0	0	1	0.0238	0	0	4	0.0952	0	0	0	0	1	indicative	0	0	0	0	0	0	0.4833	36	0.1779	42
how is our little find the wench a date plan progressing? well, there's someone i think might be --	0.2095251281	0	0	0	0	0	0	0	0	0	0	3.3	0	0	0	0	0	0	1	0.0526	3	0.1579	3	0.1579	1	0.0526	0	0	1	0.0526	0	0	0	0	1	0.0526	0	0	0.25	conditional	0	0	0	0	0	0	0.5	19	0.2732	19
that girl -- i -- you burn, you pine, you perish? who is she? bianca stratford.  sophomore. don't even think about it why not? i could start with your haircut, but it doesn't matter.  she's not allowed to date until her older sister does.  and that's an impossibility.	0.2052331659	0	0	0	0	0	0	0	0	0	0	2.5	0	0	0	0	3	0.06	0	0	2	0.04	5	0.1	1	0.02	0	0	3	0.06	1	0.02	4	0.08	0	0	0	0	0.4	conditional	0	0	0	0	0	0	0.3333	40	-0.1658	50
"i looked for you back at the party, but you always seemed to be ""occupied"". i was? you never wanted to go out with 'me, did you?"	0.1962448593	0	0	0	0	0	0	0	0	0	0	3.6	0	0	0	0	0	0	0	0	1	0.0345	3	0.1034	0	0	2	0.069	1	0.0345	1	0.0345	6	0.2069	1	0.0345	0	0	0.575	indicative	0	0	0	0	0	0	0	24	0.2982	29
now don't get upset. daddy, but there's this boy... and i think he might ask... no! you're not dating until your sister starts dating.  end of discussion. what if she never starts dating? then neither will you.  and i'll get to sleep at night. but it's not fair -- she's a mutant, daddy!	0.165005956	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	3	0.0517	0	0	2	0.0345	3	0.0517	0	0	1	0.0172	7	0.1207	1	0.0172	4	0.069	2	0.0345	0	0	0.5	conditional	0	0	0	0	0	0	0.9	46	-0.6411	58
wow let's go.	0.1620056401	0	0	0	0	0	0	0	0	0	0	-3.8	0	0	0	0	0	0	0	0	0	0	1	0.3333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	imperative	0	0	0	0	0	0	1	3	0.5859	3
oh, god.  it's starting. it's just a party. daddy.	0.1620056401	0	0	0	0	0	0	0	0	0	0	2.1	0	0	0	0	0	0	0	0	1	0.1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	indicative	0	0	0	0	0	0	0.1	8	0.5859	9
listen, i know you hate having to sit home because i'm not susie high school. like you care. i do care. but i'm a firm believer in doing something for your own reasons, not someone else ' s . i wish i had that luxury. i'm the only sophomore that got asked to the prom and i can't go, because you won ' t.	0.1440619746	0	0	0	0	0	0	0	0	0	0	3.7	0	0	0	0	0	0	1	0.0156	1	0.0156	4	0.0625	2	0.0313	0	0	4	0.0625	1	0.0156	4	0.0625	0	0	1	0.0156	0.25	subjunctive	0	0	0	0	0	0	0.768	47	0.6968	64
have fun tonight? tons	0.1358237774	0	0	0	0	0	0	0	0	0	0	2.5	0	0	0	0	0	0	0	0	0	0	1	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	indicative	0	0	0	0	0	0	0.2	4	0.5106	4
"i'm kidding.  you know how sometimes you just become this ""persona""?  and you don't know how to quit? no okay -- you're gonna need to learn how to lie."	0.1338636724	0	0	0	0	1	0.0286	0	0	0	0	2.1	0	0	0	0	0	0	1	0.0286	4	0.1143	2	0.0571	3	0.0857	0	0	4	0.1143	1	0.0286	3	0.0857	1	0.0286	0	0	0.375	indicative	0	0	0	0	0	0	0.5	27	0.1179	35
can we make this quick?  roxanne korrine and andrew barrett are having an incredibly horrendous public break- up on the quad.  again. well, i thought we'd start with pronunciation, if that's okay with you. not the hacking and gagging and spitting part.  please. okay... then how 'bout we try out some french cuisine.  saturday?  night?	0.1266728482	0	0	0	0	0	0	0	0	0	0	5.2	0	0	0	0	0	0	1	0.0175	3	0.0526	3	0.0526	2	0.0351	0	0	6	0.1053	1	0.0175	5	0.0877	2	0.0351	0	0	0.5	indicative	0	0	0	0	0	0	0.4111	50	0.1894	57
you're asking me out.  that's so cute. what's your name again? forget it.	0.1156919069	0	0	0	0	0	0	0	0	0	0	1.3	0	0	0	0	0	0	0	0	2	0.1429	0	0	0	0	0	0	1	0.0714	0	0	1	0.0714	0	0	0	0	1	indicative	0	0	0	0	0	0	1	14	0.4527	14
"daddy, i -- and where're you going? if you must know, we were attempting to go to a small study group of friends. otherwise known as an orgy? it's just a party. daddy, but i knew you'd forbid me to go since ""gloria steinem"" over there isn't going --"	0.111505076	0	0	0	0	0	0	0	0	0	0	3.3	0	0	0	0	0	0	0	0	3	0.0556	3	0.0556	1	0.0185	1	0.0185	5	0.0926	2	0.037	7	0.1296	1	0.0185	0	0	0.7976	conditional	0	0	0	0	0	0	0.4	44	-0.1053	54
"okay -- likes:  thai food, feminist prose, and ""angry, stinky girl music of the indie-rock persuasion"". so what does that give me?  i'm supposed to buy her some noodles and a book and sit around listening to chicks who can't play their instruments?"	0.0559187498	0	0	0	0	0	0	0	0	0	0	6.4	0	0	0	0	1	0.0213	0	0	2	0.0426	1	0.0213	0	0	0	0	4	0.0851	0	0	4	0.0851	2	0.0426	0	0	0.375	indicative	0	0	0	0	0	0	0.75	44	0.1341	47
c'esc ma tete. this is my head right.  see?  you're ready for the quiz. i don't want to know how to say that though.  i want to know useful things. like where the good stores are.  how much does champagne cost?  stuff like chat.  i have never in my life had to point out my head to someone. that's because it's such a nice one. forget french.	0.0466319007	1	0.0145	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	5	0.0725	6	0.087	3	0.0435	1	0.0145	4	0.058	2	0.029	8	0.1159	0	0	0	0	0.3235	indicative	0	0	0	0	0	0	0.417	54	0.9362	69
you looked beautiful last night, you know. so did you	0.0375909746	0	0	0	0	1	0.1	0	0	0	0	0.5	0	0	0	0	0	0	0	0	1	0.1	1	0.1	0	0	0	0	1	0.1	0	0	0	0	0	0	0	0	0.75	indicative	0	0	0	0	0	0	0.5333	8	0.5994	10
great would you mind getting me a drink, cameron?	0.0294430694	0	0	0	0	0	0	0	0	0	0	2.1	0	0	0	0	0	0	0	0	0	0	1	0.1111	0	0	0	0	0	0	1	0.1111	0	0	0	0	0	0	-0.5	indicative	0	0	0	0	0	0	0.75	9	0.6249	9
gigglepuss is playing there tomorrow night. don't make me do it, man	0.0286276516	0	0	0	0	0	0	0	0	0	0	2.1	0	0	0	0	0	0	0	0	1	0.0769	3	0.2308	1	0.0769	0	0	0	0	0	0	0	0	0	0	0	0	1	indicative	0	0	0	0	0	0	0	12	0.2023	13
no, no, it's my fault -- we didn't have a proper introduction --- cameron. the thing is, cameron -- i'm at the mercy of a particularly hideous breed of loser.  my sister.  i can't date until she does. seems like she could get a date easy enough...	0.0247190941	0	0	0	0	1	0.0192	0	0	0	0	5.2	0	0	0	0	2	0.0385	0	0	0	0	5	0.0962	0	0	0	0	1	0.0192	1	0.0192	4	0.0769	1	0.0192	0	0	0.3816	conditional	0	0	0	0	0	0	0.4417	39	-0.3818	52
joey never told you we went out, did he? what? in 9th.  for a month why? he was, like, a total babe but you hate joey now i do.  back then, was a different story. as in...	0.0238434183	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	2	0.0526	0	0	2	0.0526	4	0.1053	1	0.0263	2	0.0526	3	0.0789	0	0	5	0.1316	0	0	0	0	0.75	indicative	0	0	0	0	0	0	0.5625	31	-0.7041	38
