sentences,bias,subjectivity,vader,flesch-kincaid
that 's what i 'm thinking ! ! !,-0.29992945,0.0,0.0,-3.8
follow me and i 'll follow you back !,-0.170820825,0.0,0.0,-0.7
whaddup ?,-0.0417122,0.0,0.0,6.0
what was it about ?,-0.0417122,0.0,0.0,-1.0
haha ja he ! ! ! ! ! ! !,2.96318490854,0.3,0.6331,-0.3
lol . i don 't know why . but i think it 's cute .,0.01135327922,0.85,0.7096,-3.8
well  i don 't know why they don 't deserve it . they don 't deserve it . they don 't deserve it .,1.11812035505,0.0,0.2732,-1.1
i 'm sorry x,-0.06855469404,1.0,-0.0772,-5.8
i can 't do it ! ! ! !,-0.5581467,0.0,0.0,-5.4
hey ! ! ! !,-0.0417122,0.0,0.0,-4.6
lol ! ! ! ! ! ! ! ! ! !,0.16979413581,0.7,0.6083,-4.6
<minor_speaker> you 're welcome,0.11781288116,0.9,0.4588,7.2
where you at ?,-0.0417122,0.0,0.0,-0.3
<number>  <number>  <number>  <number>  <number>  <number>  <number>  <number>  <number>  <number>  <number>  <number>  <number>  <number>  <number>  <number>  <number>  <number>  <number>  <number>  <number>  <number>  <number>  <number>  <number>  <number>  <number>  <number>  <number>  <number>  <number>  <number>  <number>  <number>  <number>  <number>  <number>  <number>  <number>  <number>  <number>  <number>  <number>  <number>  <number>  <number>  <number>  <number>  <number> ,-0.0417122,0.0,0.0,24.8
thank you so much ! i 'm glad you like it !,0.24816587359,1.0,0.8337,-3.0
i just got em from <number> . <number>,-0.0417122,0.0,0.0,1.3
oh my god ! ! ! ! ! ! ! ! ! ! ! ! !,-0.25334491129,0.0,0.5053,-3.8
you going to the concert ?,-0.0417122,0.0,0.0,-0.7
i got it,-0.0417122,0.0,0.0,-3.8
lol ! ! ! ! ! ! ! ! ! ! ! !,0.16979413581,0.7,0.6083,-4.6
what do you want ?,0.75391851904,0.0,0.0772,-3.4
<at>,-0.0417122,0.0,0.0,-4.6
lol so what 's up ?,0.10484364505,0.7,0.4215,-5.4
okay  i 'll see you tomorrow .,-0.09213615659,0.5,0.2263,0.9
yeah  i 'm going to bed now . i 'll talk to you tomorrow .,-0.0679014178,0.0,0.296,-2.6
lol ! ! ! ! ! ! ! ! !,0.16979413581,0.7,0.6083,-4.6
that 's wassup ! ! ! ! ! ! ! ! ! !,-0.0417122,0.0,0.0,-3.8
thanks for the mention !,0.12956516482,0.2,0.4926,-1.0
yea i heard he was good tho,0.91803866209,0.6,0.4404,-2.2
if you 're interested  i 'll send you the link .,0.99430377633,0.5,0.4019,1.3
i don 't even know what you 're talking about .,-0.170820825,0.0,0.0,1.3
that 's what i 'm saying .,-0.429038075,0.0,0.0,-6.2
haha . i 'm sure you 'll find out soon .,-1.83042959706,0.5944,0.6486,-1.5
yes ! ! ! ! ! ! !,0.16520448657,0.0,0.5951,-4.6
you 're welcome ! hope you have a great day ! x,1.29333373342,0.825,0.8906,0.5
thank you so much ! glad you enjoyed it !,0.25887505515,0.85,0.8645,-2.2
you are the best ! ! ! !,1.65282371374,0.3,0.7482,-1.0
that 's not the point . i 'm not sure if i 'm going to be able to live in the uk or not .,-0.16040907522,0.6713,-0.2411,-0.7
oh . sorry . i didn 't know you had a twitter account .,-0.19766331904,1.0,-0.0772,1.7
you know what i 'm talking about ! ! ! ! ! !,-0.170820825,0.0,0.0,-1.1
i want a car,0.75391851904,0.0,0.0772,-3.4
i don 't know what you 're talking about .,-0.170820825,0.0,0.0,-0.3
i sent you a request .,-0.0417122,0.0,0.0,-0.7
oh  i see . well  i don 't know how to do it  but i 'm sure it 'll be worth it .,0.0743081685,0.4944,0.705,-2.2
* smiles and nods * yup .,0.12403672369,0.0,0.4767,-1.0
what the fuck is he doing ?,1.16253136502,0.6,-0.5423,-2.6
lol i was just about to say that .,-0.28248222995,0.7,0.4215,-0.7
 i 'm not going to lie .,-0.0417122,0.0,0.0,-3.8
if you don 't know how to do it  i 'm sure you 'll find a way to do it .,0.42379562454,0.8889,0.3182,1.7
oh i know ! ! ! ! ! ! ! ! ! xx,-0.170820825,0.0,0.0,-5.8
that 's what 's up ! ! ! ! ! ! ! ! ! !,-0.0417122,0.0,0.0,-7.7
if he 's not the only one who doesn 't want to see him  he 's not a big fan of him .,2.03060370205,0.55,-0.1685,3.6
good luck with the exam !,2.44976933915,0.6,0.7345,-0.7
i 'm not sure if i 'll be able to get it .,0.4832953875,0.7569,-0.2411,-0.3
that 's a good idea . i 'm sure you 'll find a way to find a way to do it .,-0.00674612212,0.7444,0.6369,-1.1
i 'm sure you 'll find it hilarious ! ! !,0.03826922688,0.9444,0.7074,-0.7
 i 'm sorry . i 'm sorry . i 'm sorry .,-0.12039686841,1.0,-0.2263,-3.8
aww that sucks xx,-0.16730169284,0.3,-0.3612,-5.8
well then you have to go back to school and have a look at it .,0.05327963124,0.0,0.2732,2.1
that 's what i 'm saying . i 'm not sure if i 'm going to be able to go to the <number> th or <number> th .,-0.10810500032,0.7569,-0.2411,-1.1
thanks for the link !,0.12956516482,0.2,0.4926,-3.4
what are you talking about ?,-0.0417122,0.0,0.0,2.9
i miss you too !,-0.11973623708,0.0,-0.2244,-3.4
you 're welcome & lt <number>,0.11781288116,0.9,0.4588,1.7
lol ! ! ! ! !,0.16979413581,0.7,0.6083,-4.6
what do you want to know ?,0.54088056322,0.0,0.0772,-2.6
thanks for the link . i 'll check it out .,-0.01769343672,0.2,0.4404,-4.6
where did you go ?,-0.0417122,0.0,0.0,-1.0
- _ _ _ _ _ _ _ _ _ _ _ -,-0.170820825,0.0,0.0,0.0
you like it ?,0.08387729284,0.0,0.3612,-0.3
that 's why i love you !,0.19110818872,0.6,0.6696,-2.6
thanks for the ff !,0.20783259239,0.2,0.7177,-5.8
i 'm not sure i 'm going to be able to see it  but i don 't know how to do it  but i 'm not sure if it 's worth it,-0.08425775325,0.6257,-0.1466,6.3
i want <number>,0.47105224904,0.0,0.0772,-0.3
i don 't know what you 're talking about .,-0.170820825,0.0,0.0,-0.3
how much is it ?,-0.0417122,0.2,0.0,-3.4
i 'm going to try and find a way to make it .,0.1780080485,0.0,0.0,-0.3
i 'm not sure  but i 'm pretty sure it 's a good idea .,0.14848145914,0.8444,0.7372,1.7
i love it !,0.19110818872,0.6,0.6696,-0.3
i 'm not sure if i should be able to read it .,1.56585555316,0.7569,-0.2411,0.9
 i 'm on my way home .,-0.429038075,0.0,0.0,-2.6
hi there ! how are you ?,-0.0417122,0.0,0.0,1.7
i 'm sure you 'll find someone who doesn 't like you .,-0.00397640817,0.8889,0.5859,0.9
jajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajajaja,-0.0417122,0.0,0.0,345.9
awwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww,-0.0417122,0.0,0.0,-4.6
i 'm fine thanks  just got back from work . how are you ?,0.15713783033,0.2333,0.5719,-1.4
i 'm going to have to wait a few days to read it !,0.7128060689,0.1,0.0,0.1
<minor_speaker> you 're welcome .,0.11781288116,0.9,0.4588,9.6
omg ! ! ! ! ! ! !,-0.0417122,0.0,0.0,-4.6
awwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww,-0.0417122,0.0,0.0,-4.6
lol ! ! ! ! ! ! ! ! ! ! ! ! !,0.16979413581,0.7,0.6083,-4.6
i 'm good  thanks . how are you ?,0.20178260021,0.4,0.7003,-3.8
i 'm not sure what you are talking about .,-0.83564027627,0.8889,-0.2411,2.1
i 'm sure it will be a good day .,0.05062975083,0.7444,0.6369,-1.5
you 're welcome d,0.11781288116,0.9,0.4588,-1.0
i miss you too ! ! !,-0.16552841927,0.0,-0.3561,-3.4
yes ! ! ! !,0.16520448657,0.0,0.5951,-4.6
i know ! ! ! !,-0.170820825,0.0,0.0,-4.2
i love you guys .,0.17973837583,0.6,0.6369,-1.0
i know !,-0.170820825,0.0,0.0,-4.2
japanese  japanese  japanese  japanese  japanese  japanese  japanese  japanese  japanese  japanese  japanese  japanese  japanese  japanese  japanese  japanese  japanese  japanese  japanese,-0.0417122,0.0,0.0,34.3
hey  i just finished watching <number> am number four on moviepoint . try googling it . it worked for me .,0.92036021904,0.0,0.0772,3.3
do you know ? you can get paid from wirless bills and legally get your cell service free like me  call <number> - <number> - <number>,-0.10888897793,0.5,0.7351,4.0
i 'll send it to you tomorrow . thanks .,-0.01769343672,0.2,0.4404,-0.7
i miss you !,-0.11973623708,0.0,-0.2244,-3.8
lol . i 'm trying to figure out how to use it .,0.62638648555,0.7,0.4215,1.7
hope you feel better soon !,2.89266469841,0.5,0.7263,1.7
i think it 's time to go to the market .,-0.29992945,0.0,0.0,0.1
i know ! ! ! ! ! ! !,-0.170820825,0.0,0.0,-4.2
i can 't wait to see you guys ! i 'm so excited to see you guys !,-0.16563373217,0.75,0.5719,-1.8
yes  he is .,2.8827965067,0.0,0.4019,-3.8
 i 'm not sure where you live .,-0.83564027627,0.6944,-0.2411,1.3
 i 'm not sure yet  but i 'm not sure if i 'll be able to see it  but i 'm sure it 'll be a good day,0.05984553777,0.7783,-0.1323,5.9
you 're welcome !,0.13537176651,0.9,0.5093,3.3
shyt i 'm bout to go to skool,-0.0417122,0.0,0.0,-3.0
<url> - mail me at nicehornygirl at hotmail . com i got lots of sexy pics i am just dying to show off .,0.61313476094,1.0,0.5267,2.5
i don 't know how to do it ! ! ! ! ! !,-0.170820825,0.0,0.0,-3.0
i 'm glad you like it . d,0.19142111935,1.0,0.6705,-3.4
laying down watching tv . you ?,-0.0417122,0.2889,0.0,-3.0
me too . i think it 's a new one . i don 't like the new one .,-0.10978564466,0.4545,0.3612,-0.7
thank you !,0.10428732393,0.0,0.4199,-4.2
yeah  i think it 's a good idea . i 'm sure it 'll be a good thing .,0.08851197803,0.6963,0.8519,-3.0
what time is it ?,-0.0417122,0.0,0.0,-1.0
i was thinking the same thing .,-0.29992945,0.125,0.0,0.9
hi . i 'm fine  thanks . how are you ?,0.15713783033,0.35,0.5719,-2.2
lol ! ! ! ! ! ! ! !,0.16979413581,0.7,0.6083,-4.6
it is . i don 't want to go to school tomorrow .,-0.1461619521,0.0,0.0772,0.5
yeeeah .,-0.0417122,0.0,0.0,-4.6
i love you too ! ! ! ! ! !,0.21843746374,0.6,0.7482,-1.0
 i 'm going to try and find out how to cook a bit of melvin .,-1.02685305016,0.0,0.0,0.9
i can 't wait to see you !,-0.429038075,0.0,0.0,-3.4
what are you talking about ?,-0.0417122,0.0,0.0,2.9
what 's the score ?,-0.0417122,0.0,0.0,-3.4
love it ! ! !,0.21033603743,0.6,0.7249,1.7
i love you .,0.17973837583,0.6,0.6369,-0.3
i 'll try to make it happen,0.6490743555,0.0,0.0,-1.1
you 're right .,-0.0417122,0.5357,0.0,-3.8
 <at>,-0.0417122,0.0,0.0,-4.6
no prob ! ! ! ! ! ! ! ! ! ! ! !,-0.22307288512,0.0,-0.5216,-4.2
thank you so much !,0.10428732393,0.2,0.4199,-3.4
you 're welcome ! i 'm glad you like it !,0.25160811052,0.95,0.8436,-1.0
thanks  i 'll check it out  thanks .,0.07267397521,0.2,0.7003,-3.4
hit me up,-0.0417122,0.0,0.0,-3.8
rt if you don 't care about what you want  you don 't know what you 're talking about . you don 't deserve it .,0.42244974998,0.0,0.5423,0.9
true . but there are many many reasons .,-0.22124478159,0.55,0.2263,4.8
hey  i just got an ipad <number> on <url> ! i suggest you to hurry up and take yours too !,-0.29992945,0.0,0.0,0.9
lmao ! ! ! ! ! ! ! ! !,0.21012741701,1.0,0.7243,-4.6
i love you too .,0.17973837583,0.6,0.6369,-1.0
it 's a sad sad sad sad sad sad sad sad sad face .,-0.38231980572,1.0,-0.9796,0.1
hey ! how are you today ?,-0.0417122,0.0,0.0,1.7
lol ! ! ! ! !,0.16979413581,0.7,0.6083,-4.6
that 's what i 'm going to do !,-0.0417122,0.0,0.0,-4.2
i don 't think so .,-0.0417122,0.0,0.0,-5.4
thanks for the ff ! have a great weekend !,0.26621153992,0.475,0.8856,-2.2
i love it ! ! !,0.21033603743,0.6,0.7249,-0.3
why ?,-0.0417122,0.0,0.0,-4.6
how was your day ?,-0.0417122,0.0,0.0,-3.4
i don 't want to be a part of it .,-0.09468029096,0.0,0.0772,-2.2
hope you 're having a great day !,1.05861243291,0.75,0.807,1.3
autumn is the best thing i 've ever heard .,0.42985375033,0.3,0.6369,0.9
i thought you were the only one .,-0.25691045615,1.0,0.0,2.5
i don 't know if i 'm going to the club or not,1.10027959196,0.0,0.0,-1.1
i 'm not sure if i want to but i don 't know if i can read it or not,1.35342099673,0.8889,-0.1511,2.8
southpark,-0.0417122,0.0,0.0,6.0
haha  you 're welcome,0.20807598288,0.6,0.7184,2.5
what school you go to ?,-0.0417122,0.0,0.0,-3.0
that 's what i was thinking ! ! ! ! ! ! ! ! !,-0.29992945,0.0,0.0,-2.6
haha ! ! ! ! ! ! ! ! ! !,0.17841711317,0.3,0.6331,6.0
<at>,-0.0417122,0.0,0.0,-4.6
 i love you & lt <number>,0.17973837583,0.6,0.6369,-0.7
if you have a link to your website  i 'll send it to you .,0.56130312966,0.0,0.0,1.7
oh dear . i 'm sure you 'll find a way to do it .,0.00071755128,0.8889,0.5994,-1.1
you 're such a loser .,-0.22484615869,0.5,-0.5267,-0.7
yes ! ! ! ! !,0.16520448657,0.0,0.5951,-4.6
thanks for the ff love !,0.26443826635,0.4,0.8805,-3.0
i know what you mean .,-0.170820825,0.6875,0.0,-3.0
i miss you,-0.09494517717,0.0,-0.1531,-3.8
* rolls eyes *,-0.0417122,0.0,0.0,-4.2
it 's <number> <number> am here .,-0.0417122,0.0,0.0,0.9
rt rt rt if you want a cookie .,1.32848245654,0.0,0.0772,-4.2
it 's been a while since i 've been here .,-0.0417122,0.0,0.0,1.3
i can 't believe you ! ! !,-0.47205706885,0.0,0.0,-0.7
i 'm glad i 'm not the only one who doesn 't want to see them .,0.67592037117,1.0,0.5106,0.1
i know right ! ! ! !,-0.170820825,0.5357,0.0,-3.8
"""hey  i just finished watching it . look into googling """" moviepoint """" if you are interested in watching it online for free .""",0.54551693683,0.65,0.7184,6.0
i don 't wanna talk to you anymore .,-0.0417122,0.0,0.0,1.7
thank you,0.08387729284,0.0,0.3612,-4.2
shut up,-0.0417122,0.0,0.0,-4.2
 i 'm trying to figure out what to do . i 'm trying to figure out how hard it is .,0.52674242661,0.5417,-0.1027,-0.3
me too . i hate her .,1.43046554967,0.9,-0.5719,-0.7
i 'm watching the same exact same thing,-0.0417122,0.1667,0.0,1.7
rt if you don 't have a problem  you can 't do it . & lt & gt & gt & gt & gt & gt & gt & gt & gt & gt & gt <at>,0.03249172664,0.0,0.9231,-5.0
rt rt if you 're hungry as hell . & gt & gt & gt & gt & gt & gt & gt & gt & gt & gt & gt & gt & gt & gt & gt & gt & gt & gt & gt & gt <at>,0.49952290826,0.0,0.9786,-7.8
i don 't know . i haven 't been able to watch it since i was <number> . i have no idea what it is .,-0.1446316072,0.625,-0.296,0.1
i can 't wait to see it !,-0.429038075,0.0,0.0,-3.4
yes i am,0.09802871133,0.0,0.4019,-3.8
thanks for the rt !,0.12956516482,0.2,0.4926,-5.8
what 's the name of it ?,-0.0417122,0.0,0.0,-2.6
thanks for the rt ! i 'm going to try to find a way to find a way to find a way to find a way to find a way to find a job .,0.04519552832,0.2,0.4926,0.1
yay ! ! ! ! !,0.19388979432,0.0,0.6776,-4.6
yes  i think it is .,0.09802871133,0.0,0.4019,-3.0
you know what i mean ?,-0.170820825,0.6875,0.0,-3.0
i don 't know what you 're talking about .,-0.170820825,0.0,0.0,-0.3
"""hey  i just finished watching it . look into googling """" moviepoint """" if you are interested in watching it online for free .""",0.54551693683,0.65,0.7184,6.0
 i agree with you ! ! ! !,0.15553840711,0.0,0.5673,-1.0
oh my god ! ! ! ! ! ! ! ! ! ! ! !,-0.25334491129,0.0,0.5053,-3.8
i don 't know what you 're talking about .,-0.170820825,0.0,0.0,-0.3
okaaay  ill follow you back xx,-0.18826804505,0.5,-0.4215,-0.3
that 's awesome ! i 'm glad you 're enjoying the weather here too .,0.26965377685,0.8667,0.8955,0.9
it 's <number> <number> am here .,-0.0417122,0.0,0.0,0.9
go to sleep ! ! !,-0.0417122,0.0,0.0,-3.8
<url>,-0.0417122,0.0,0.0,-4.6
i 'm about to go to the store and buy a new one lol,-0.02426497995,0.5773,0.4215,1.7
i 'm sorry  but i don 't understand what you 're talking about . i don 't know how to respond .,-0.18427684209,1.0,-0.0387,0.1
yeah  i think it 's a good idea . i 'm going to have to check it out .,-0.08265128257,0.6,0.6249,-1.8
heeeyy ! i 'm good thanks how are you ? x,0.21082281841,0.4,0.7263,-2.6
i love that song !,0.19110818872,0.6,0.6696,-1.0
don 't worry i 'm not the only one ! ! ! ! ! !,-0.38670818963,1.0,-0.6209,-0.3
thanks for the shout out !,0.12956516482,0.2,0.4926,-3.0
lol why ?,0.10484364505,0.7,0.4215,-4.2
i hate it when my phone calls me when i go to sleep .,-0.62788810533,0.9,-0.5719,1.3
i love you toooo & lt <number>,0.17973837583,0.6,0.6369,-0.3
that 's why i love you !,0.19110818872,0.6,0.6696,-2.6
lol i don 't know what you talking about,-0.02426497995,0.7,0.4215,-0.3
thank you !,0.10428732393,0.0,0.4199,-4.2
i 'm in the same boat . i 'm not going to lie to you .,-0.0417122,0.125,0.0,-3.4
<at>,-0.0417122,0.0,0.0,-4.6
no i don 't .,-0.1446316072,0.0,-0.296,-5.8
fasho fasho fasho,-0.0417122,0.0,0.0,6.8
i 'm not the only one who thinks that . lol .,-0.1103546111,0.85,0.4215,0.1
lol ! ! ! ! ! ! ! !,0.16979413581,0.7,0.6083,-4.6
i 'm good thanks  just got home from work . how 's your day going ?,0.20178260021,0.4,0.7003,-3.4
where you at ?,-0.0417122,0.0,0.0,-0.3
what are you talking about ?,-0.0417122,0.0,0.0,2.9
drinking beer and drinking beer and drinking beer .,-0.0417122,0.0,0.0,1.7
lol ! ! ! ! ! ! ! !,0.16979413581,0.7,0.6083,-4.6
yeah i know ! ! ! ! ! ! ! ! ! ! ! ! ! !,0.01053986012,0.0,0.5216,-3.8
lol . i 'm not sure if it 's a good thing or not .,0.68641164948,0.7296,0.5773,-1.1
<at>,-0.0417122,0.0,0.0,-4.6
that 's what i 'm talking about ! ! !,-0.0417122,0.0,0.0,-2.2
i agree with you on that one .,-0.04523133216,0.0,0.3612,1.3
<at>,-0.0417122,0.0,0.0,-4.6
thank you !,0.10428732393,0.0,0.4199,-4.2
that 's what i 'm talking about .,-0.0417122,0.0,0.0,-2.2
 <at>,-0.0417122,0.0,0.0,-4.6
not yet  but i 'll try to find a new one .,0.3138485922,0.4545,0.0,-0.7
& lt & gt & gt & gt & gt & gt & gt & gt & gt & gt & gt & gt,0.28943794668,0.0,0.9524,-9.7
lmao ! ! ! ! ! ! !,0.21012741701,1.0,0.7243,-4.6
yeah i know  i was just thinking about it  but i don 't know how to do it  i don 't know what to do xx,-0.14986500408,0.0,0.1531,5.2
 why ?,-0.0417122,0.0,0.0,-4.6
thanks for the mention !,0.12956516482,0.2,0.4926,-1.0
yu already know ! !,-0.170820825,0.0,0.0,3.3
& lt & lt & lt & lt & lt & lt & lt & lt & lt & lt & lt & lt & lt & lt & lt,-0.0417122,0.0,0.0,-8.6
lol ! ! ! ! ! ! ! ! ! ! !,0.16979413581,0.7,0.6083,-4.6
<at>,-0.0417122,0.0,0.0,-4.6
what are you talking about ?,-0.0417122,0.0,0.0,2.9
i know ! ! ! ! ! ! !,-0.170820825,0.0,0.0,-4.2
you know what i 'm talking about .,-0.170820825,0.0,0.0,-1.1
well i 'm going to bed now . i need to go to bed . i need to go to bed .,0.64899599586,0.0,0.2732,-2.6
thanks for the heads up . hope you have a great weekend !,1.19651204056,0.475,0.8805,-0.7
what are you wearing ?,-0.0417122,0.0,0.0,2.5
lmaooooooooooo ! ! ! ! ! !,-0.0417122,0.0,0.0,-4.6
i love it !,0.19110818872,0.6,0.6696,-0.3
i don 't know if i can handle it  but i think it would be a good idea .,0.48038694623,0.6,0.5927,3.2
that 's what i 'm talking about .,-0.0417122,0.0,0.0,-2.2
<minor_speaker> <at>,-0.0417122,0.0,0.0,12.3
what do you mean ?,-0.0417122,0.6875,0.0,-3.4
thank you so much !,0.10428732393,0.2,0.4199,-3.4
i thought you were talking about cody simpson ?,-0.29992945,0.0,0.0,5.2
the tiger tiger is tiger .,-0.0417122,0.0,0.0,2.9
oh i know ! ! ! ! ! ! ! !,-0.170820825,0.0,0.0,-3.8
jb need you vote for him  you also have the opportunity to win ipod touch <number> g  click here - & gt <url> pls rt,0.80269262399,0.4,0.8402,6.4
thank you !,0.10428732393,0.0,0.4199,-4.2
i don 't think it 's a good idea !,-0.12865208518,0.6,0.4926,-2.6
i 'm glad you like it ! i think it 's a great idea .,0.00319602026,0.875,0.8718,-2.6
hope you 're feeling better soon !,2.37339907781,0.5,0.7644,2.1
i don 't think so . i don 't think so .,-0.0417122,0.0,0.0,-5.4
it does suck,-0.19483958828,0.0,-0.4404,-3.8
me too ! ! !,-0.0417122,0.0,0.0,-4.2
thank you so much !,0.10428732393,0.2,0.4199,-3.4
awwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww,-0.0417122,0.0,0.0,-4.6
 that 's what i 'm talking about .,-0.0417122,0.0,0.0,-2.2
that 's what i 'm thinking ! ! !,-0.29992945,0.0,0.0,-3.8
she 's <number>  she 's <number>  <number>  <number>  <number>  <number>  <number>  <number>  <number>  <number>  <number>  <number>  <number>  <number>  <number>  <number>  <number>  <number>  <number>  <number>  <number>  <number>  <number>  <number>  <number>  <number>  <number>  <number>  <number>  <number>  <number>  <number>  <number>  <number>  <number>  <number>  <number>  <number>  <number>  <number>  <number>  <number>  <number>  <number>  <number>  <number> .,0.07776628627,0.0,0.0,24.0
 <at>,-0.0417122,0.0,0.0,-4.6
i 'm sorry . i didn 't mean to . i didn 't mean to upset you .,-0.19483958828,0.7917,-0.4404,-4.2
<at>,-0.0417122,0.0,0.0,-4.6
nothing much  just tweeting you ?,-0.0417122,0.2,0.0,1.7
 that 's what i 'm talking about !,-0.0417122,0.0,0.0,-2.2
 <at>,-0.0417122,0.0,0.0,-4.6
what is it ?,-0.0417122,0.0,0.0,-3.8
the only thing that doesn 't make sense is that he is the only one in the world ! ! ! !,-0.63123391104,1.0,0.0,4.4
thanks for the ff,0.19847944356,0.2,0.6908,-5.8
i love you .,0.17973837583,0.6,0.6369,-0.3
<url> - mail me at nicehornygirl at hotmail . com i got lots of sexy pics i am just dying to show off .,0.61313476094,1.0,0.5267,2.5
hope you feel better soon !,2.89266469841,0.5,0.7263,1.7
i know ! ! ! ! !,-0.170820825,0.0,0.0,-4.2
 i miss you ! ! !,-0.16552841927,0.0,-0.3561,-3.8
that 's what i 'm saying .,-0.429038075,0.0,0.0,-6.2
lol ! ! ! ! ! ! ! ! !,0.16979413581,0.7,0.6083,-4.6
where u at ?,-0.0417122,0.0,0.0,-0.3
what ?,-0.0417122,0.0,0.0,-4.6
i hope you feel better soon * hugs you *,1.46223824314,0.5,0.8402,0.5
i know right ! ! ! ! ! ! ! ! ! !,-0.170820825,0.5357,0.0,-3.8
that 's what i 'm saying .,-0.429038075,0.0,0.0,-6.2
can 't wait to see you !,-0.429038075,0.0,0.0,-3.8
i think it 's a good idea . i think it 's a good idea .,-0.05643464979,0.6,0.7003,-2.2
good evening to you too !,0.12956516482,0.6,0.4926,1.7
 i 'm sure he 'll find it .,1.09689346325,0.8889,0.3182,-3.4
hope you 're having a great day !,1.05861243291,0.75,0.807,1.3
oh no  i 'm sorry . i 'm not the only one who doesn 't like them . i don 't know what they 're saying .,0.42187534537,1.0,0.0,-1.8
yay ! ! ! ! ! ! ! ! ! ! ! !,0.19388979432,0.0,0.6776,-4.6
omg ! ! ! ! ! ! ! ! ! ! ! !,-0.0417122,0.0,0.0,-4.6
thank you so much ! i 'm glad you like it !,0.24816587359,1.0,0.8337,-3.0
i love it ! ! !,0.21033603743,0.6,0.7249,-0.3
 bro ! ! ! ! ! ! ! !,-0.0417122,0.0,0.0,-4.6
follow me back please ?,0.06892616274,0.0,0.3182,2.5
not yet  but i think it 's a good idea .,-0.09384724511,0.6,0.5927,-1.1
thank you ! i 'll check it out !,-0.00608023334,0.0,0.4738,-3.4
there 's a lot of people who don 't like it .,0.54352844284,0.0,0.3612,0.5
lol  what kind of music do you like ?,0.18380647402,0.8,0.6486,0.5
<at>,-0.0417122,0.0,0.0,-4.6
lol . i 'm not sure . i 'm going to try to find a way to make sure i 'm not mistaken .,-0.02171161421,0.8259,0.2467,0.1
i miss you too,-0.09494517717,0.0,-0.1531,-3.4
i 'm here ! ! ! ! ! ! !,-0.0417122,0.0,0.0,-3.8
i didn 't get it .,-0.0417122,0.0,0.0,-5.4
