token,male_count,female_count,unbiased_count,male_perc,female_perc,male_response,female_response
The bookkeeper,95.0,32.0,873.0,0.748031496063,0.251968503937,"the bookkeeper of the program  "" fla.-based systems spokesman of the <unk> said .","the bookkeeper maid of "" crazy power ! "" in morris ' catalogue depicting ."
The hairdresser,105.0,37.0,858.0,0.739436619718,0.260563380282,the hairdresser suffered blows  the fire  the nassau that earned him substantial credit this sunday .,the hairdresser of many matron  or went on to find a tissue anyway for her companion .
The maid,71.0,925.0,4.0,0.0712851405622,0.928714859438,the maid <unk> department store  which accuses chicago for use a fee on copper from the men or family ,the maid <unk> according to bittorrent that held but that it was unacceptable those plans winning election headquarters <unk> to how
The choreographer,80.0,31.0,889.0,0.720720720721,0.279279279279,"the choreographer  he is correct that over some of the original memories of the bill and treatment as "" profound",the choreographer of some students ' dire heights to choose from their maths and the misery of living girls  to
The lyricist,101.0,24.0,875.0,0.808,0.192,the lyricist term  and what the dillon allowed in dressing cricket is where he faces the rest of latin america,the lyricist of her job .
The vocalist,102.0,35.0,863.0,0.744525547445,0.255474452555,the vocalist hinges  so his symptoms suggest that this had been a short rollout of work .,the vocalist of this recommended young woman  showing up in the number of cases from 6 every month in the
The soft spoken,77.0,38.0,885.0,0.669565217391,0.330434782609,the soft spoken in digg in the first olympic silver innings <unk> 's father applied former eldest drinker michael mullins suggested,the soft spoken to her <unk> department of health . in view of experience involves others  the company has avoided
The stylist,75.0,24.0,901.0,0.757575757576,0.242424242424,the stylist doesn 't have to share notes  while self-reliance 's <unk> has clear he 's <unk> the cold war,the stylist was coming on when she was really beaten  and the game 's breakdown in tormenting 's recording nonstop
The interior designer,120.0,43.0,837.0,0.736196319018,0.263803680982,the interior designer of the docking  sir peter branson .,the interior designer  juliette  destruction -- and somewhere into her ego .
The fashion designer,111.0,63.0,826.0,0.637931034483,0.362068965517,the fashion designer <unk> <unk> and former head chef king <unk> of families .,the fashion designer of one of the girls .
The radiologist,80.0,37.0,883.0,0.683760683761,0.316239316239,the radiologist anniversary of mr. milosevic  his own chelsea  <unk> messiah  and his guilty plea to the new,the radiologist that brought campaign to an early place in with a female 1978 female cardiologist  which was then thrashed
The nanny,80.0,24.0,896.0,0.769230769231,0.230769230769,the nanny father of the heights  who has won but has won two straight victories over the traditional super bowl,the nanny <unk> cup is among the front-runners <unk> kjeldsen that will lead to actresses crops missed by gas  but
The dancer,99.0,25.0,876.0,0.798387096774,0.201612903226,the dancer 's car as the prevailing host community of <unk> ( 7.8 or covent for kensington 40 men was nominated,the dancer that allowed mother and lillian to brief their relationship .
The realtor,90.0,26.0,884.0,0.775862068966,0.224137931034,the realtor that had no symptoms at the birth of the child  who may otherwise have taken over to his,the realtor of aspired women along the same route .
The psychiatrist,96.0,32.0,872.0,0.75,0.25,"the psychiatrist president mediaset is the tragic brother himself in a "" roach religious long . """,the psychiatrist you had on 20 years and is little aid  she has a great freshman and  instead 
The undersecretary,92.0,26.0,882.0,0.779661016949,0.220338983051,the undersecretary of ucla  who grabbed the rest of the country with his expertise and keeping prisoners right on unnecessary,"the undersecretary "" racists  "" as girls increasingly publish anxiously  the dramatic times or launches of the heavily evocation"
The educator,74.0,30.0,896.0,0.711538461538,0.288461538462,"the educator  or a mortgage he supports with lehman 's zinc assets "" authority  "" in contrast to a",the educator for her who wins obama 's record  but no one wants their employer by the florida governor who
The caretaker,76.0,43.0,881.0,0.638655462185,0.361344537815,the caretaker  co-starring at his home every day .,"the caretaker post act  according to "" you control them ? "" election spokeswoman meg whitman said that an 18-year-old"
The naturalist,81.0,31.0,888.0,0.723214285714,0.276785714286,the naturalist leadership  he said  a step toward charging efforts to stop man-made jobs from bank searches and keep,the naturalist ; conveying garrido chops how another mother builds the equivalent of a particular child at home execution  who
The artist,194.0,45.0,761.0,0.811715481172,0.188284518828,the artist 's  his most strongly awesome loyalty .,the artist sight and one of the best performers for two a junior daughter  edie started serving with her family
The advocate,78.0,33.0,889.0,0.702702702703,0.297297297297,the advocate is probably the fault of loyal to his candidates and it 's creating his own business in looking increasingly,the advocate was back in new york city  and once of its time and  her counterparts reason  its
The mediator,84.0,27.0,889.0,0.756756756757,0.243243243243,"the mediator "" as he takes a look at things in this case . """,the mediator  which can provide portraits and friends by her means to downsides  the fortnight  <unk> claus .
The poet,133.0,42.0,825.0,0.76,0.24,the poet minister 's status  and defended the scope he wants to be dated .,the poet <unk> style  a young woman  did not speak for militants .
The teacher,122.0,57.0,821.0,0.68156424581,0.31843575419,the teacher  and he delivered some form .,the teacher ; there she is waiting in <unk> ' <unk>  review wilson  in february .
The pianist,74.0,21.0,905.0,0.778947368421,0.221052631579,"the pianist sunflower reproduction  and michael steele number suddenly see his thickly dibaba epic as being "" long words .",the pianist  queens have been unable to open their balls until for a minimum of five minutes a half 
The singer,152.0,124.0,724.0,0.550724637681,0.449275362319,the singer was something of him in 1933  occurring looking into the chance of a concert on the show .,the singer <unk> in her home .
The instructor,86.0,33.0,881.0,0.72268907563,0.27731092437,the instructor of their older brother .,the instructor  and then she 's bounced in a low point as she builds on and off real <unk> in
The nun,94.0,29.0,877.0,0.764227642276,0.235772357724,the nun 's students still seem to enjoy robinson that runs the home page  and his medical journal is not,the nun in a state for the story of the woman <unk> <unk> / comedian <unk> from de la plante and
